,formula,composition,compositions,number_element
37566,Ti5Fe3,Ti5 Fe3,Ti Fe,5
37568,Ti5Ga,Ti5 Ga1,Ti Ga,5
37569,Ti5Ga3,Ti5 Ga3,Ti Ga,5
37570,Ti5Ga4,Ti5 Ga4,Ti Ga,5
37571,Ti5Ge,Ti5 Ge1,Ti Ge,5
37572,Ti5Ge24,Ti5 Ge24,Ti Ge,5
37573,Ti5Ge3,Ti5 Ge3,Ti Ge,5
37574,Ti5Ge4,Ti5 Ge4,Ti Ge,5
37575,Ti5Hg,Ti5 Hg1,Ti Hg,5
37576,Ti5Hg24,Ti5 Hg24,Ti Hg,5
37577,Ti5Hg3,Ti5 Hg3,Ti Hg,5
37578,Ti5Hg4,Ti5 Hg4,Ti Hg,5
37579,Ti5Hg7,Ti5 Hg7,Ti Hg,5
37580,Ti5In,Ti5 In1,Ti In,5
37582,Ti5Ir,Ti5 Ir1,Ti Ir,5
37583,Ti5Ir3,Ti5 Ir3,Ti Ir,5
37584,Ti5Ir4,Ti5 Ir4,Ti Ir,5
37586,Ti5Mn24,Ti5 Mn24,Ti Mn,5
37588,Ti5Mn4,Ti5 Mn4,Ti Mn,5
37590,Ti5Mo,Ti5 Mo1,Ti Mo,5
37591,Ti5Mo2,Ti5 Mo2,Ti Mo,5
37592,Ti5Mo24,Ti5 Mo24,Ti Mo,5
37593,Ti5Mo3,Ti5 Mo3,Ti Mo,5
37594,Ti5Mo4,Ti5 Mo4,Ti Mo,5
37596,Ti5Nb3,Ti5 Nb3,Ti Nb,5
37599,Ti5Ni24,Ti5 Ni24,Ti Ni,5
37600,Ti5Ni3,Ti5 Ni3,Ti Ni,5
37602,Ti5O7,Ti5 O7,Ti O,4
37603,Ti5O8,Ti5 O8,Ti O,4
37604,Ti5O9,Ti5 O9,Ti O,4
37605,Ti5Os,Ti5 Os1,Ti Os,5
37606,Ti5Os3,Ti5 Os3,Ti Os,5
37607,Ti5Os4,Ti5 Os4,Ti Os,5
37608,Ti5P,Ti5 P1,Ti P,4
37609,Ti5P24,Ti5 P24,Ti P,4
37610,Ti5P3,Ti5 P3,Ti P,4
37612,Ti5Pb,Ti5 Pb1,Ti Pb,5
37614,Ti5Pd,Ti5 Pd1,Ti Pd,5
37615,Ti5Pd24,Ti5 Pd24,Ti Pd,5
37616,Ti5Pd3,Ti5 Pd3,Ti Pd,5
37617,Ti5Pd4,Ti5 Pd4,Ti Pd,5
37618,Ti5Pt,Ti5 Pt1,Ti Pt,5
37619,Ti5Pt24,Ti5 Pt24,Ti Pt,5
37620,Ti5Pt3,Ti5 Pt3,Ti Pt,5
37621,Ti5Pt4,Ti5 Pt4,Ti Pt,5
37622,Ti5Re,Ti5 Re1,Ti Re,5
37623,Ti5Re24,Ti5 Re24,Ti Re,5
37624,Ti5Re3,Ti5 Re3,Ti Re,5
37625,Ti5Re4,Ti5 Re4,Ti Re,5
37626,Ti5Rh,Ti5 Rh1,Ti Rh,5
37627,Ti5Rh24,Ti5 Rh24,Ti Rh,5
37628,Ti5Rh3,Ti5 Rh3,Ti Rh,5
37629,Ti5Rh4,Ti5 Rh4,Ti Rh,5
37630,Ti5Ru,Ti5 Ru1,Ti Ru,5
37631,Ti5Ru24,Ti5 Ru24,Ti Ru,5
37632,Ti5Ru3,Ti5 Ru3,Ti Ru,5
37633,Ti5Ru4,Ti5 Ru4,Ti Ru,5
37634,Ti5S,Ti5 S1,Ti S,4
37635,Ti5S24,Ti5 S24,Ti S,4
37636,Ti5S3,Ti5 S3,Ti S,4
37637,Ti5S4,Ti5 S4,Ti S,4
37638,Ti5S7,Ti5 S7,Ti S,4
37639,Ti5S8,Ti5 S8,Ti S,4
37641,Ti5Sb3,Ti5 Sb3,Ti Sb,5
37643,Ti5Se,Ti5 Se1,Ti Se,5
37644,Ti5Se24,Ti5 Se24,Ti Se,5
37645,Ti5Se3,Ti5 Se3,Ti Se,5
37646,Ti5Se4,Ti5 Se4,Ti Se,5
37647,Ti5Se7,Ti5 Se7,Ti Se,5
37648,Ti5Si,Ti5 Si1,Ti Si,5
37649,Ti5Si24,Ti5 Si24,Ti Si,5
37652,Ti5Sn,Ti5 Sn1,Ti Sn,5
37654,Ti5Sn4,Ti5 Sn4,Ti Sn,5
37655,Ti5Te,Ti5 Te1,Ti Te,5
37656,Ti5Te24,Ti5 Te24,Ti Te,5
37657,Ti5Te3,Ti5 Te3,Ti Te,5
37658,Ti5Te4,Ti5 Te4,Ti Te,5
37659,Ti5Te7,Ti5 Te7,Ti Te,5
37660,Ti5Te8,Ti5 Te8,Ti Te,5
37661,Ti5Tl,Ti5 Tl1,Ti Tl,5
37662,Ti5Tl24,Ti5 Tl24,Ti Tl,5
37663,Ti5Tl3,Ti5 Tl3,Ti Tl,5
37666,Ti5V3,Ti5 V3,Ti V,4
37667,Ti5V4,Ti5 V4,Ti V,4
37668,Ti5W,Ti5 W1,Ti W,4
37669,Ti5W24,Ti5 W24,Ti W,4
37670,Ti5W3,Ti5 W3,Ti W,4
37671,Ti5W4,Ti5 W4,Ti W,4
37672,Ti5Zn,Ti5 Zn1,Ti Zn,5
37673,Ti5Zn3,Ti5 Zn3,Ti Zn,5
37679,Ti6Au7,Ti6 Au7,Ti Au,5
37691,Ti6Mn7,Ti6 Mn7,Ti Mn,5
37694,Ti6Ni7,Ti6 Ni7,Ti Ni,5
37695,Ti6O,Ti6 O1,Ti O,4
37702,Ti6Ru7,Ti6 Ru7,Ti Ru,5
37703,Ti6S7,Ti6 S7,Ti S,4
37710,Ti7Ag,Ti7 Ag1,Ti Ag,5
37711,Ti7Ag6,Ti7 Ag6,Ti Ag,5
37713,Ti7Al6,Ti7 Al6,Ti Al,5
37714,Ti7As,Ti7 As1,Ti As,5
37715,Ti7As6,Ti7 As6,Ti As,5
37716,Ti7Au,Ti7 Au1,Ti Au,5
37717,Ti7Au6,Ti7 Au6,Ti Au,5
37719,Ti7Be,Ti7 Be1,Ti Be,5
37720,Ti7Bi,Ti7 Bi1,Ti Bi,5
37721,Ti7Br,Ti7 Br1,Ti Br,5
37722,Ti7Br16,Ti7 Br16,Ti Br,5
37723,Ti7Br6,Ti7 Br6,Ti Br,5
37724,Ti7C,Ti7 C1,Ti C,4
37725,Ti7C5,Ti7 C5,Ti C,4
37726,Ti7C6,Ti7 C6,Ti C,4
37727,Ti7Cd,Ti7 Cd1,Ti Cd,5
37728,Ti7Cd5,Ti7 Cd5,Ti Cd,5
37729,Ti7Cd6,Ti7 Cd6,Ti Cd,5
37730,Ti7Cl,Ti7 Cl1,Ti Cl,5
37731,Ti7Cl16,Ti7 Cl16,Ti Cl,5
37734,Ti7Cr6,Ti7 Cr6,Ti Cr,5
37735,Ti7Cu,Ti7 Cu1,Ti Cu,5
37736,Ti7Cu5,Ti7 Cu5,Ti Cu,5
37737,Ti7Cu6,Ti7 Cu6,Ti Cu,5
37739,Ti7Fe6,Ti7 Fe6,Ti Fe,5
37740,Ti7Ga6,Ti7 Ga6,Ti Ga,5
37742,Ti7Hg,Ti7 Hg1,Ti Hg,5
37743,Ti7Hg5,Ti7 Hg5,Ti Hg,5
37744,Ti7Hg6,Ti7 Hg6,Ti Hg,5
37745,Ti7Ir,Ti7 Ir1,Ti Ir,5
37746,Ti7Ir6,Ti7 Ir6,Ti Ir,5
37747,Ti7Mn,Ti7 Mn1,Ti Mn,5
37748,Ti7Mo,Ti7 Mo1,Ti Mo,5
37750,Ti7N8,Ti7 N8,Ti N,4
37753,Ti7O13,Ti7 O13,Ti O,4
37754,Ti7O8,Ti7 O8,Ti O,4
37755,Ti7Os,Ti7 Os1,Ti Os,5
37757,Ti7P4,Ti7 P4,Ti P,4
37758,Ti7P6,Ti7 P6,Ti P,4
37759,Ti7Pb,Ti7 Pb1,Ti Pb,5
37760,Ti7Pd,Ti7 Pd1,Ti Pd,5
37761,Ti7Pt,Ti7 Pt1,Ti Pt,5
37762,Ti7Pt6,Ti7 Pt6,Ti Pt,5
37763,Ti7Re,Ti7 Re1,Ti Re,5
37764,Ti7Rh,Ti7 Rh1,Ti Rh,5
37765,Ti7Rh6,Ti7 Rh6,Ti Rh,5
37766,Ti7Ru,Ti7 Ru1,Ti Ru,5
37767,Ti7Ru6,Ti7 Ru6,Ti Ru,5
37768,Ti7S,Ti7 S1,Ti S,4
37769,Ti7S12,Ti7 S12,Ti S,4
37770,Ti7S5,Ti7 S5,Ti S,4
37771,Ti7S6,Ti7 S6,Ti S,4
37772,Ti7Sb,Ti7 Sb1,Ti Sb,5
37773,Ti7Se,Ti7 Se1,Ti Se,5
37774,Ti7Se5,Ti7 Se5,Ti Se,5
37778,Ti7Te,Ti7 Te1,Ti Te,5
37779,Ti7Te5,Ti7 Te5,Ti Te,5
37780,Ti7Te6,Ti7 Te6,Ti Te,5
37781,Ti7Tl,Ti7 Tl1,Ti Tl,5
37782,Ti7Tl6,Ti7 Tl6,Ti Tl,5
37783,Ti7V,Ti7 V1,Ti V,4
37784,Ti7W,Ti7 W1,Ti W,4
37785,Ti7W6,Ti7 W6,Ti W,4
37786,Ti7Zn,Ti7 Zn1,Ti Zn,5
37788,Ti8Ag,Ti8 Ag1,Ti Ag,5
37790,Ti8As,Ti8 As1,Ti As,5
37791,Ti8Au,Ti8 Au1,Ti Au,5
37792,Ti8B,Ti8 B1,Ti B,4
37793,Ti8Be,Ti8 Be1,Ti Be,5
37794,Ti8Bi,Ti8 Bi1,Ti Bi,5
37796,Ti8Br,Ti8 Br1,Ti Br,5
37797,Ti8C,Ti8 C1,Ti C,4
37798,Ti8C5,Ti8 C5,Ti C,4
37799,Ti8Cd,Ti8 Cd1,Ti Cd,5
37807,Ti8Ir,Ti8 Ir1,Ti Ir,5
37809,Ti8Mo,Ti8 Mo1,Ti Mo,5
37810,Ti8N5,Ti8 N5,Ti N,4
37811,Ti8Nb,Ti8 Nb1,Ti Nb,5
37813,Ti8O13,Ti8 O13,Ti O,4
37814,Ti8O15,Ti8 O15,Ti O,4
37815,Ti8Os,Ti8 Os1,Ti Os,5
37816,Ti8P,Ti8 P1,Ti P,4
37818,Ti8Pd,Ti8 Pd1,Ti Pd,5
37819,Ti8Pt,Ti8 Pt1,Ti Pt,5
37820,Ti8Re,Ti8 Re1,Ti Re,5
37821,Ti8Rh,Ti8 Rh1,Ti Rh,5
37822,Ti8Ru,Ti8 Ru1,Ti Ru,5
37823,Ti8S,Ti8 S1,Ti S,4
37824,Ti8S3,Ti8 S3,Ti S,4
37825,Ti8Sb,Ti8 Sb1,Ti Sb,5
37826,Ti8Se,Ti8 Se1,Ti Se,5
37828,Ti8Sn,Ti8 Sn1,Ti Sn,5
37829,Ti8Te,Ti8 Te1,Ti Te,5
37830,Ti8Tl,Ti8 Tl1,Ti Tl,5
37831,Ti8V,Ti8 V1,Ti V,4
37832,Ti8W,Ti8 W1,Ti W,4
37834,Ti9O10,Ti9 O10,Ti O,4
37835,Ti9O13,Ti9 O13,Ti O,4
37836,Ti9O17,Ti9 O17,Ti O,4
37838,Ti9S10,Ti9 S10,Ti S,4
37839,Ti9S11,Ti9 S11,Ti S,4
37840,Ti9S16,Ti9 S16,Ti S,4
37841,Ti9S8,Ti9 S8,Ti S,4
37843,TiAg,Ti1 Ag1,Ti Ag,5
37844,TiAg13,Ti1 Ag13,Ti Ag,5
37849,TiAg5,Ti1 Ag5,Ti Ag,5
37850,TiAg7,Ti1 Ag7,Ti Ag,5
37853,TiAl15,Ti1 Al15,Ti Al,5
37859,TiAl7,Ti1 Al7,Ti Al,5
37861,TiAs,Ti1 As1,Ti As,5
37865,TiAs5,Ti1 As5,Ti As,5
37866,TiAs7,Ti1 As7,Ti As,5
37868,TiAu,Ti1 Au1,Ti Au,5
37869,TiAu13,Ti1 Au13,Ti Au,5
37870,TiAu2,Ti1 Au2,Ti Au,5
37874,TiAu5,Ti1 Au5,Ti Au,5
37875,TiAu7,Ti1 Au7,Ti Au,5
37877,TiB,Ti1 B1,Ti B,4
37878,TiB12,Ti1 B12,Ti B,4
37882,TiB5,Ti1 B5,Ti B,4
37883,TiB7,Ti1 B7,Ti B,4
37885,TiBe,Ti1 Be1,Ti Be,5
37886,TiBe12,Ti1 Be12,Ti Be,5
37890,TiBe5,Ti1 Be5,Ti Be,5
37891,TiBe7,Ti1 Be7,Ti Be,5
37899,TiBr,Ti1 Br1,Ti Br,5
37903,TiBr5,Ti1 Br5,Ti Br,5
37905,TiC,Ti1 C1,Ti C,4
37906,TiC2,Ti1 C2,Ti C,4
37909,TiC5,Ti1 C5,Ti C,4
37913,TiCd13,Ti1 Cd13,Ti Cd,5
37914,TiCd2,Ti1 Cd2,Ti Cd,5
37918,TiCd5,Ti1 Cd5,Ti Cd,5
37919,TiCd7,Ti1 Cd7,Ti Cd,5
37921,TiCl,Ti1 Cl1,Ti Cl,5
37922,TiCl2,Ti1 Cl2,Ti Cl,5
37924,TiCl4,Ti1 Cl4,Ti Cl,5
37925,TiCl5,Ti1 Cl5,Ti Cl,5
37928,TiCo13,Ti1 Co13,Ti Co,5
37929,TiCo2,Ti1 Co2,Ti Co,5
37934,TiCo7,Ti1 Co7,Ti Co,5
37937,TiCr13,Ti1 Cr13,Ti Cr,5
37938,TiCr2,Ti1 Cr2,Ti Cr,5
37942,TiCr5,Ti1 Cr5,Ti Cr,5
37946,TiCu13,Ti1 Cu13,Ti Cu,5
37947,TiCu2,Ti1 Cu2,Ti Cu,5
37951,TiCu5,Ti1 Cu5,Ti Cu,5
37952,TiCu7,Ti1 Cu7,Ti Cu,5
37954,TiF,Ti1 F1,Ti F,4
37955,TiF2,Ti1 F2,Ti F,4
37956,TiF3,Ti1 F3,Ti F,4
37957,TiF4,Ti1 F4,Ti F,4
37959,TiFe13,Ti1 Fe13,Ti Fe,5
37960,TiFe2,Ti1 Fe2,Ti Fe,5
37965,TiFe7,Ti1 Fe7,Ti Fe,5
37967,TiGa,Ti1 Ga1,Ti Ga,5
37973,TiGe,Ti1 Ge1,Ti Ge,5
37977,TiGe5,Ti1 Ge5,Ti Ge,5
37978,TiGe7,Ti1 Ge7,Ti Ge,5
37983,TiHg,Ti1 Hg1,Ti Hg,5
37984,TiHg13,Ti1 Hg13,Ti Hg,5
37985,TiHg2,Ti1 Hg2,Ti Hg,5
37990,TiHg7,Ti1 Hg7,Ti Hg,5
37992,TiI,Ti1 I1,Ti I,4
37996,TiIn,Ti1 In1,Ti In,5
38000,TiIn5,Ti1 In5,Ti In,5
38002,TiIr,Ti1 Ir1,Ti Ir,5
38003,TiIr13,Ti1 Ir13,Ti Ir,5
38004,TiIr2,Ti1 Ir2,Ti Ir,5
38008,TiIr5,Ti1 Ir5,Ti Ir,5
38009,TiIr7,Ti1 Ir7,Ti Ir,5
38012,TiMn13,Ti1 Mn13,Ti Mn,5
38013,TiMn2,Ti1 Mn2,Ti Mn,5
38021,TiMo13,Ti1 Mo13,Ti Mo,5
38022,TiMo2,Ti1 Mo2,Ti Mo,5
38026,TiMo5,Ti1 Mo5,Ti Mo,5
38027,TiMo6,Ti1 Mo6,Ti Mo,5
38028,TiMo7,Ti1 Mo7,Ti Mo,5
38030,TiN,Ti1 N1,Ti N,4
38031,TiN2,Ti1 N2,Ti N,4
38038,TiNb7,Ti1 Nb7,Ti Nb,5
38041,TiNi13,Ti1 Ni13,Ti Ni,5
38042,TiNi2,Ti1 Ni2,Ti Ni,5
38047,TiNi7,Ti1 Ni7,Ti Ni,5
38049,TiO,Ti1 O1,Ti O,4
38050,TiO2,Ti1 O2,Ti O,4
38052,TiOs,Ti1 Os1,Ti Os,5
38053,TiOs13,Ti1 Os13,Ti Os,5
38054,TiOs2,Ti1 Os2,Ti Os,5
38058,TiOs5,Ti1 Os5,Ti Os,5
38059,TiOs7,Ti1 Os7,Ti Os,5
38061,TiP,Ti1 P1,Ti P,4
38066,TiP7,Ti1 P7,Ti P,4
38072,TiPb5,Ti1 Pb5,Ti Pb,5
38073,TiPb7,Ti1 Pb7,Ti Pb,5
38075,TiPd,Ti1 Pd1,Ti Pd,5
38076,TiPd13,Ti1 Pd13,Ti Pd,5
38077,TiPd2,Ti1 Pd2,Ti Pd,5
38081,TiPd5,Ti1 Pd5,Ti Pd,5
38082,TiPd7,Ti1 Pd7,Ti Pd,5
38084,TiPt,Ti1 Pt1,Ti Pt,5
38085,TiPt13,Ti1 Pt13,Ti Pt,5
38086,TiPt2,Ti1 Pt2,Ti Pt,5
38090,TiPt5,Ti1 Pt5,Ti Pt,5
38091,TiPt7,Ti1 Pt7,Ti Pt,5
38094,TiRe13,Ti1 Re13,Ti Re,5
38095,TiRe2,Ti1 Re2,Ti Re,5
38099,TiRe5,Ti1 Re5,Ti Re,5
38100,TiRe7,Ti1 Re7,Ti Re,5
38102,TiRh,Ti1 Rh1,Ti Rh,5
38103,TiRh13,Ti1 Rh13,Ti Rh,5
38104,TiRh2,Ti1 Rh2,Ti Rh,5
38108,TiRh5,Ti1 Rh5,Ti Rh,5
38109,TiRh7,Ti1 Rh7,Ti Rh,5
38111,TiRu,Ti1 Ru1,Ti Ru,5
38112,TiRu13,Ti1 Ru13,Ti Ru,5
38113,TiRu2,Ti1 Ru2,Ti Ru,5
38117,TiRu5,Ti1 Ru5,Ti Ru,5
38118,TiRu7,Ti1 Ru7,Ti Ru,5
38120,TiS,Ti1 S1,Ti S,4
38125,TiS7,Ti1 S7,Ti S,4
38133,TiSe,Ti1 Se1,Ti Se,5
38137,TiSe5,Ti1 Se5,Ti Se,5
38138,TiSe7,Ti1 Se7,Ti Se,5
38141,TiSi16,Ti1 Si16,Ti Si,5
38142,TiSi2,Ti1 Si2,Ti Si,5
38157,TiTe5,Ti1 Te5,Ti Te,5
38158,TiTe7,Ti1 Te7,Ti Te,5
38164,TiTl5,Ti1 Tl5,Ti Tl,5
38165,TiTl7,Ti1 Tl7,Ti Tl,5
38172,TiV7,Ti1 V7,Ti V,4
38174,TiW,Ti1 W1,Ti W,4
38175,TiW13,Ti1 W13,Ti W,4
38176,TiW2,Ti1 W2,Ti W,4
38180,TiW5,Ti1 W5,Ti W,4
38181,TiW7,Ti1 W7,Ti W,4
38184,TiZn13,Ti1 Zn13,Ti Zn,5
38185,TiZn16,Ti1 Zn16,Ti Zn,5
38186,TiZn2,Ti1 Zn2,Ti Zn,5
38190,TiZn5,Ti1 Zn5,Ti Zn,5
38191,TiZn7,Ti1 Zn7,Ti Zn,5
38193,Tl12Ag17,Tl12 Ag17,Tl Ag,5
38194,Tl12As17,Tl12 As17,Tl As,5
38195,Tl12Au17,Tl12 Au17,Tl Au,5
38196,Tl12B17,Tl12 B17,Tl B,4
38197,Tl12Bi17,Tl12 Bi17,Tl Bi,5
38198,Tl12C,Tl12 C1,Tl C,4
38199,Tl12C17,Tl12 C17,Tl C,4
38200,Tl12Cl17,Tl12 Cl17,Tl Cl,5
38201,Tl12Fe17,Tl12 Fe17,Tl Fe,5
38202,Tl12Ga17,Tl12 Ga17,Tl Ga,5
38204,Tl12Hg17,Tl12 Hg17,Tl Hg,5
38205,Tl12In17,Tl12 In17,Tl In,5
38206,Tl12Ir17,Tl12 Ir17,Tl Ir,5
38207,Tl12Mo17,Tl12 Mo17,Tl Mo,5
38208,Tl12N,Tl12 N1,Tl N,4
38209,Tl12O,Tl12 O1,Tl O,4
38210,Tl12Pt17,Tl12 Pt17,Tl Pt,5
38211,Tl12S,Tl12 S1,Tl S,4
38212,Tl12Se17,Tl12 Se17,Tl Se,5
38213,Tl12Si17,Tl12 Si17,Tl Si,5
38215,Tl17Ag12,Tl17 Ag12,Tl Ag,5
38216,Tl17As12,Tl17 As12,Tl As,5
38217,Tl17Au12,Tl17 Au12,Tl Au,5
38218,Tl17Br12,Tl17 Br12,Tl Br,5
38219,Tl17C12,Tl17 C12,Tl C,4
38220,Tl17Cr12,Tl17 Cr12,Tl Cr,5
38221,Tl17Ge12,Tl17 Ge12,Tl Ge,5
38222,Tl17Ir12,Tl17 Ir12,Tl Ir,5
38223,Tl17P12,Tl17 P12,Tl P,4
38224,Tl17Pd12,Tl17 Pd12,Tl Pd,5
38225,Tl17Pt12,Tl17 Pt12,Tl Pt,5
38226,Tl17Sb12,Tl17 Sb12,Tl Sb,5
38227,Tl17Se12,Tl17 Se12,Tl Se,5
38228,Tl17Si12,Tl17 Si12,Tl Si,5
38229,Tl17Sn12,Tl17 Sn12,Tl Sn,5
38231,Tl24Ag5,Tl24 Ag5,Tl Ag,5
38232,Tl24As5,Tl24 As5,Tl As,5
38233,Tl24Au5,Tl24 Au5,Tl Au,5
38234,Tl24B5,Tl24 B5,Tl B,4
38235,Tl24Br5,Tl24 Br5,Tl Br,5
38236,Tl24C5,Tl24 C5,Tl C,4
38237,Tl24Cl5,Tl24 Cl5,Tl Cl,5
38238,Tl24Fe5,Tl24 Fe5,Tl Fe,5
38239,Tl24Ge5,Tl24 Ge5,Tl Ge,5
38240,Tl24Ir5,Tl24 Ir5,Tl Ir,5
38241,Tl24P5,Tl24 P5,Tl P,4
38242,Tl24Pb5,Tl24 Pb5,Tl Pb,5
38243,Tl24Pd5,Tl24 Pd5,Tl Pd,5
38244,Tl24Sn5,Tl24 Sn5,Tl Sn,5
38245,Tl24W5,Tl24 W5,Tl W,4
38246,Tl24Zn5,Tl24 Zn5,Tl Zn,5
38249,Tl2As,Tl2 As1,Tl As,5
38251,Tl2Au,Tl2 Au1,Tl Au,5
38257,Tl2Br,Tl2 Br1,Tl Br,5
38259,Tl2C,Tl2 C1,Tl C,4
38263,Tl2Cl,Tl2 Cl1,Tl Cl,5
38264,Tl2Cl3,Tl2 Cl3,Tl Cl,5
38270,Tl2F3,Tl2 F3,Tl F,4
38283,Tl2O,Tl2 O1,Tl O,4
38284,Tl2O3,Tl2 O3,Tl O,4
38285,Tl2Os,Tl2 Os1,Tl Os,5
38296,Tl2Rh,Tl2 Rh1,Tl Rh,5
38300,Tl2S3,Tl2 S3,Tl S,4
38304,Tl2Se,Tl2 Se1,Tl Se,5
38318,Tl3Ag,Tl3 Ag1,Tl Ag,5
38321,Tl3As,Tl3 As1,Tl As,5
38323,Tl3Au,Tl3 Au1,Tl Au,5
38324,Tl3Au2,Tl3 Au2,Tl Au,5
38325,Tl3Au4,Tl3 Au4,Tl Au,5
38327,Tl3B,Tl3 B1,Tl B,4
38332,Tl3Br,Tl3 Br1,Tl Br,5
38333,Tl3Br2,Tl3 Br2,Tl Br,5
38334,Tl3Br4,Tl3 Br4,Tl Br,5
38336,Tl3C,Tl3 C1,Tl C,4
38337,Tl3C2,Tl3 C2,Tl C,4
38338,Tl3C4,Tl3 C4,Tl C,4
38340,Tl3Cd,Tl3 Cd1,Tl Cd,5
38342,Tl3Cd4,Tl3 Cd4,Tl Cd,5
38344,Tl3Cl,Tl3 Cl1,Tl Cl,5
38345,Tl3Cl2,Tl3 Cl2,Tl Cl,5
38346,Tl3Cl4,Tl3 Cl4,Tl Cl,5
38348,Tl3Co,Tl3 Co1,Tl Co,5
38350,Tl3Co4,Tl3 Co4,Tl Co,5
38352,Tl3Cr,Tl3 Cr1,Tl Cr,5
38355,Tl3F,Tl3 F1,Tl F,4
38356,Tl3F2,Tl3 F2,Tl F,4
38357,Tl3Fe,Tl3 Fe1,Tl Fe,5
38358,Tl3Fe2,Tl3 Fe2,Tl Fe,5
38360,Tl3Ga,Tl3 Ga1,Tl Ga,5
38361,Tl3Ga2,Tl3 Ga2,Tl Ga,5
38362,Tl3Ga4,Tl3 Ga4,Tl Ga,5
38364,Tl3Ge,Tl3 Ge1,Tl Ge,5
38365,Tl3Ge2,Tl3 Ge2,Tl Ge,5
38366,Tl3Ge4,Tl3 Ge4,Tl Ge,5
38369,Tl3Hg,Tl3 Hg1,Tl Hg,5
38371,Tl3Hg4,Tl3 Hg4,Tl Hg,5
38373,Tl3I,Tl3 I1,Tl I,4
38375,Tl3In,Tl3 In1,Tl In,5
38377,Tl3In4,Tl3 In4,Tl In,5
38380,Tl3Ir2,Tl3 Ir2,Tl Ir,5
38381,Tl3Ir4,Tl3 Ir4,Tl Ir,5
38384,Tl3Mo2,Tl3 Mo2,Tl Mo,5
38386,Tl3N,Tl3 N1,Tl N,4
38388,Tl3Ni,Tl3 Ni1,Tl Ni,5
38389,Tl3Ni2,Tl3 Ni2,Tl Ni,5
38391,Tl3O,Tl3 O1,Tl O,4
38393,Tl3Os,Tl3 Os1,Tl Os,5
38395,Tl3Os4,Tl3 Os4,Tl Os,5
38397,Tl3P,Tl3 P1,Tl P,4
38400,Tl3Pb,Tl3 Pb1,Tl Pb,5
38401,Tl3Pb2,Tl3 Pb2,Tl Pb,5
38402,Tl3Pb4,Tl3 Pb4,Tl Pb,5
38404,Tl3Pd,Tl3 Pd1,Tl Pd,5
38405,Tl3Pd2,Tl3 Pd2,Tl Pd,5
38406,Tl3Pd4,Tl3 Pd4,Tl Pd,5
38408,Tl3Pt,Tl3 Pt1,Tl Pt,5
38409,Tl3Pt2,Tl3 Pt2,Tl Pt,5
38410,Tl3Pt4,Tl3 Pt4,Tl Pt,5
38412,Tl3Re,Tl3 Re1,Tl Re,5
38413,Tl3Re2,Tl3 Re2,Tl Re,5
38414,Tl3Re4,Tl3 Re4,Tl Re,5
38416,Tl3Rh,Tl3 Rh1,Tl Rh,5
38417,Tl3Rh2,Tl3 Rh2,Tl Rh,5
38418,Tl3Rh4,Tl3 Rh4,Tl Rh,5
38420,Tl3Ru,Tl3 Ru1,Tl Ru,5
38421,Tl3Ru2,Tl3 Ru2,Tl Ru,5
38422,Tl3Ru4,Tl3 Ru4,Tl Ru,5
38424,Tl3S,Tl3 S1,Tl S,4
38426,Tl3Sb,Tl3 Sb1,Tl Sb,5
38427,Tl3Sb4,Tl3 Sb4,Tl Sb,5
38429,Tl3Se,Tl3 Se1,Tl Se,5
38430,Tl3Se2,Tl3 Se2,Tl Se,5
38431,Tl3Se4,Tl3 Se4,Tl Se,5
38433,Tl3Si,Tl3 Si1,Tl Si,5
38435,Tl3Sn,Tl3 Sn1,Tl Sn,5
38436,Tl3Sn4,Tl3 Sn4,Tl Sn,5
38438,Tl3Te,Tl3 Te1,Tl Te,5
38439,Tl3Te2,Tl3 Te2,Tl Te,5
38442,Tl3V2,Tl3 V2,Tl V,4
38444,Tl3W,Tl3 W1,Tl W,4
38445,Tl3W4,Tl3 W4,Tl W,4
38447,Tl3Zn,Tl3 Zn1,Tl Zn,5
38448,Tl3Zn2,Tl3 Zn2,Tl Zn,5
38449,Tl3Zn4,Tl3 Zn4,Tl Zn,5
38453,Tl4As,Tl4 As1,Tl As,5
38454,Tl4As3,Tl4 As3,Tl As,5
38456,Tl4Au,Tl4 Au1,Tl Au,5
38457,Tl4Au3,Tl4 Au3,Tl Au,5
38459,Tl4B,Tl4 B1,Tl B,4
38460,Tl4B3,Tl4 B3,Tl B,4
38464,Tl4Br,Tl4 Br1,Tl Br,5
38467,Tl4C,Tl4 C1,Tl C,4
38468,Tl4C3,Tl4 C3,Tl C,4
38469,Tl4C5,Tl4 C5,Tl C,4
38470,Tl4Cd,Tl4 Cd1,Tl Cd,5
38471,Tl4Cd3,Tl4 Cd3,Tl Cd,5
38473,Tl4Cl,Tl4 Cl1,Tl Cl,5
38474,Tl4Cl5,Tl4 Cl5,Tl Cl,5
38475,Tl4Co,Tl4 Co1,Tl Co,5
38476,Tl4Co3,Tl4 Co3,Tl Co,5
38478,Tl4Cr,Tl4 Cr1,Tl Cr,5
38479,Tl4Cr3,Tl4 Cr3,Tl Cr,5
38481,Tl4Cu,Tl4 Cu1,Tl Cu,5
38482,Tl4Cu3,Tl4 Cu3,Tl Cu,5
38486,Tl4Ga,Tl4 Ga1,Tl Ga,5
38488,Tl4Ge,Tl4 Ge1,Tl Ge,5
38489,Tl4Ge3,Tl4 Ge3,Tl Ge,5
