,formula,composition,compositions,number_element
273,Ag17P12,Ag17 P12,Ag P,4
274,Ag17Pb12,Ag17 Pb12,Ag Pb,5
275,Ag17Pd12,Ag17 Pd12,Ag Pd,5
276,Ag17Pt12,Ag17 Pt12,Ag Pt,5
277,Ag17Se12,Ag17 Se12,Ag Se,5
278,Ag17Sn12,Ag17 Sn12,Ag Sn,5
279,Ag17Te12,Ag17 Te12,Ag Te,5
280,Ag22Au,Ag22 Au1,Ag Au,5
281,Ag22Pd,Ag22 Pd1,Ag Pd,5
282,Ag22Pt,Ag22 Pt1,Ag Pt,5
283,Ag24As5,Ag24 As5,Ag As,5
284,Ag24Au5,Ag24 Au5,Ag Au,5
285,Ag24B5,Ag24 B5,Ag B,4
286,Ag24Br5,Ag24 Br5,Ag Br,5
287,Ag24C5,Ag24 C5,Ag C,4
288,Ag24P5,Ag24 P5,Ag P,4
289,Ag24Pb5,Ag24 Pb5,Ag Pb,5
290,Ag24Pd5,Ag24 Pd5,Ag Pd,5
291,Ag24Pt5,Ag24 Pt5,Ag Pt,5
292,Ag24Se5,Ag24 Se5,Ag Se,5
293,Ag24Sn5,Ag24 Sn5,Ag Sn,5
294,Ag24Te5,Ag24 Te5,Ag Te,5
295,Ag256H,Ag256 H1,Ag H,4
296,Ag256Pb,Ag256 Pb1,Ag Pb,5
297,Ag2As,Ag2 As1,Ag As,5
298,Ag2As3,Ag2 As3,Ag As,5
299,Ag2Au,Ag2 Au1,Ag Au,5
300,Ag2Au3,Ag2 Au3,Ag Au,5
301,Ag2B,Ag2 B1,Ag B,4
302,Ag2B3,Ag2 B3,Ag B,4
303,Ag2Bi,Ag2 Bi1,Ag Bi,5
304,Ag2Bi3,Ag2 Bi3,Ag Bi,5
305,Ag2Br,Ag2 Br1,Ag Br,5
306,Ag2Br3,Ag2 Br3,Ag Br,5
307,Ag2C,Ag2 C1,Ag C,4
308,Ag2C3,Ag2 C3,Ag C,4
309,Ag2Cl,Ag2 Cl1,Ag Cl,5
310,Ag2Cl3,Ag2 Cl3,Ag Cl,5
311,Ag2F,Ag2 F1,Ag F,4
312,Ag2F3,Ag2 F3,Ag F,4
313,Ag2F5,Ag2 F5,Ag F,4
314,Ag2Ge,Ag2 Ge1,Ag Ge,5
315,Ag2Ge3,Ag2 Ge3,Ag Ge,5
316,Ag2Hg,Ag2 Hg1,Ag Hg,5
317,Ag2Hg3,Ag2 Hg3,Ag Hg,5
318,Ag2Hg5,Ag2 Hg5,Ag Hg,5
319,Ag2I,Ag2 I1,Ag I,4
320,Ag2I3,Ag2 I3,Ag I,4
321,Ag2Ir,Ag2 Ir1,Ag Ir,5
322,Ag2Ir3,Ag2 Ir3,Ag Ir,5
323,Ag2Mo,Ag2 Mo1,Ag Mo,5
324,Ag2Mo3,Ag2 Mo3,Ag Mo,5
325,Ag2N,Ag2 N1,Ag N,4
326,Ag2N3,Ag2 N3,Ag N,4
327,Ag2O,Ag2 O1,Ag O,4
328,Ag2O3,Ag2 O3,Ag O,4
329,Ag2Os,Ag2 Os1,Ag Os,5
330,Ag2Os3,Ag2 Os3,Ag Os,5
331,Ag2P,Ag2 P1,Ag P,4
332,Ag2P3,Ag2 P3,Ag P,4
333,Ag2Pb,Ag2 Pb1,Ag Pb,5
334,Ag2Pb3,Ag2 Pb3,Ag Pb,5
335,Ag2Pd,Ag2 Pd1,Ag Pd,5
336,Ag2Pd3,Ag2 Pd3,Ag Pd,5
337,Ag2Pt,Ag2 Pt1,Ag Pt,5
338,Ag2Pt3,Ag2 Pt3,Ag Pt,5
339,Ag2Pt7,Ag2 Pt7,Ag Pt,5
340,Ag2Rh,Ag2 Rh1,Ag Rh,5
341,Ag2Rh3,Ag2 Rh3,Ag Rh,5
342,Ag2Ru,Ag2 Ru1,Ag Ru,5
343,Ag2Ru3,Ag2 Ru3,Ag Ru,5
344,Ag2S,Ag2 S1,Ag S,4
345,Ag2S3,Ag2 S3,Ag S,4
346,Ag2Sb,Ag2 Sb1,Ag Sb,5
347,Ag2Sb3,Ag2 Sb3,Ag Sb,5
348,Ag2Se,Ag2 Se1,Ag Se,5
349,Ag2Se3,Ag2 Se3,Ag Se,5
350,Ag2Sn,Ag2 Sn1,Ag Sn,5
351,Ag2Sn3,Ag2 Sn3,Ag Sn,5
352,Ag2Te,Ag2 Te1,Ag Te,5
353,Ag2Te3,Ag2 Te3,Ag Te,5
354,Ag2W,Ag2 W1,Ag W,4
355,Ag2W3,Ag2 W3,Ag W,4
356,Ag36C,Ag36 C1,Ag C,4
357,Ag36H,Ag36 H1,Ag H,4
358,Ag36O,Ag36 O1,Ag O,4
359,Ag3As,Ag3 As1,Ag As,5
360,Ag3As2,Ag3 As2,Ag As,5
361,Ag3As4,Ag3 As4,Ag As,5
362,Ag3As5,Ag3 As5,Ag As,5
363,Ag3Au,Ag3 Au1,Ag Au,5
364,Ag3Au2,Ag3 Au2,Ag Au,5
365,Ag3Au4,Ag3 Au4,Ag Au,5
366,Ag3Au5,Ag3 Au5,Ag Au,5
367,Ag3B,Ag3 B1,Ag B,4
368,Ag3B2,Ag3 B2,Ag B,4
369,Ag3B4,Ag3 B4,Ag B,4
370,Ag3B5,Ag3 B5,Ag B,4
371,Ag3Bi,Ag3 Bi1,Ag Bi,5
372,Ag3Bi2,Ag3 Bi2,Ag Bi,5
373,Ag3Bi4,Ag3 Bi4,Ag Bi,5
374,Ag3Bi5,Ag3 Bi5,Ag Bi,5
375,Ag3Br,Ag3 Br1,Ag Br,5
376,Ag3Br2,Ag3 Br2,Ag Br,5
377,Ag3C,Ag3 C1,Ag C,4
378,Ag3C2,Ag3 C2,Ag C,4
379,Ag3C4,Ag3 C4,Ag C,4
380,Ag3C5,Ag3 C5,Ag C,4
381,Ag3Cl,Ag3 Cl1,Ag Cl,5
382,Ag3Cl2,Ag3 Cl2,Ag Cl,5
383,Ag3F,Ag3 F1,Ag F,4
384,Ag3F8,Ag3 F8,Ag F,4
385,Ag3Ge,Ag3 Ge1,Ag Ge,5
386,Ag3Ge2,Ag3 Ge2,Ag Ge,5
387,Ag3Ge4,Ag3 Ge4,Ag Ge,5
388,Ag3Ge5,Ag3 Ge5,Ag Ge,5
389,Ag3H,Ag3 H1,Ag H,4
390,Ag3Hg,Ag3 Hg1,Ag Hg,5
391,Ag3Hg2,Ag3 Hg2,Ag Hg,5
392,Ag3Hg4,Ag3 Hg4,Ag Hg,5
393,Ag3Hg5,Ag3 Hg5,Ag Hg,5
394,Ag3I,Ag3 I1,Ag I,4
395,Ag3Ir,Ag3 Ir1,Ag Ir,5
396,Ag3Ir2,Ag3 Ir2,Ag Ir,5
397,Ag3Ir4,Ag3 Ir4,Ag Ir,5
398,Ag3Ir5,Ag3 Ir5,Ag Ir,5
399,Ag3Mo,Ag3 Mo1,Ag Mo,5
400,Ag3Mo2,Ag3 Mo2,Ag Mo,5
401,Ag3Mo4,Ag3 Mo4,Ag Mo,5
402,Ag3Mo5,Ag3 Mo5,Ag Mo,5
403,Ag3N,Ag3 N1,Ag N,4
404,Ag3O,Ag3 O1,Ag O,4
405,Ag3O4,Ag3 O4,Ag O,4
406,Ag3Os,Ag3 Os1,Ag Os,5
407,Ag3Os2,Ag3 Os2,Ag Os,5
408,Ag3Os4,Ag3 Os4,Ag Os,5
